Start,Maximize,Logo verify,Verify Data Import Templates Elements,Verify Workbook Type Element,Workbook Explorer,Open Workbook Type,Add chip,Verify option chip,Open Timeline,Chip Timeline Image Sequence,Verify Chip Timeline Elements,Close Timeline,Open Raw Data,Raw Data Sorting,Raw Data New Parameter,Raw Data Add New Parameter,Raw Data Unselect Parameter,Close Raw Data,Open Gallery,Gallery Image Sequence,Gallery Setting,Gallery Sort Element,Gallery Select Pens,Gallery Export Csv,Gallery Attribute list,Raw Data Parameter In Gallery,Gallery Select Attribute,Gallery Export Pdf,Close Gallery,Add Graph Button,Graph Builder Scatter Plot Elements,Graph Builder Axis Attribute,Graph Builder Change Groupby,Graph Builder Save,Graph Builder Open Saved Graph,Graph Builder Histogram,Histogram select Xaxis,Histogram Save,Open Histogram And Verify Attribute,Change Bin Quantity,Click Filter,Add Chip In Filter,Filter Name,Add Condition In Filter,Filter Builder Set Min Max,Filter Save Button Oned,Filter Twod Condition,Filter Twod Condition Save,Close
5.591449 sec,0.3750986 sec,0.1334904 sec,5.3574084 sec,4.4835483 sec,1.5839496 sec,1.7245426 sec,5.3239264 sec,2.7214314 sec,6.7290507 sec,0.8206445 sec,3.7207556 sec,18.8357386 sec,3.7507687 sec,2.0963481 sec,10.0218783 sec,3.5652428 sec,4.5128884 sec,9.4102374 sec,9.3442139 sec,5.1386856 sec,5.4292967 sec,6.4440378 sec,24.7023853 sec,3.7838793 sec,22.0028747 sec,8.8770085 sec,5.1544622 sec,3.8123266 sec,7.7702924 sec,5.6166925 sec,1.2636494 sec,4.0656145 sec,0.9124774 sec,7.8215796 sec,6.6232269 sec,16.3373574 sec,6.9161233 sec,0.9841027 sec
11.8087832 sec,0.9216545 sec,0.1287976 sec,5.3271279 sec,4.5187869 sec,1.4656208 sec,1.8152721 sec,11.9306949 sec,2.6952755 sec,6.6792856 sec,0.9348237 sec,3.9209597 sec,29.6641489 sec,3.6488404 sec,2.278275 sec,10.2669625 sec,3.4431727 sec,4.5086505 sec,8.8426351 sec,9.0267725 sec,5.5997206 sec,5.2291936 sec,6.5868158 sec,24.3883507 sec,4.170302 sec,21.7608273 sec,8.6816672 sec,5.1192492 sec,3.7930728 sec,7.7291117 sec,5.5611886 sec,1.2264789 sec,3.9862881 sec,0.9092518 sec,7.6761225 sec,6.5692439 sec,16.8834358 sec,6.7948678 sec,1.00625 sec
5.3278718 sec,0.4021038 sec,0.1711159 sec,5.5533555 sec,4.4656461 sec,1.5664839 sec,1.6489925 sec,5.0021633 sec,2.7282713 sec,6.7617347 sec,0.8034224 sec,6.2147497 sec,12.3324408 sec,3.6470735 sec,2.0828227 sec,9.946106 sec,3.5434696 sec,4.6705039 sec,8.9408767 sec,9.2237432 sec,5.0590517 sec,5.3470909 sec,6.3480713 sec,24.2226414 sec,3.7917635 sec,21.9201116 sec,8.7869139 sec,5.1860887 sec,3.8435388 sec,7.6823211 sec,5.6263993 sec,1.2121861 sec,4.0234872 sec,0.9099834 sec,7.7041388 sec,6.5960796 sec,16.3883167 sec,6.8512535 sec,0.9871733 sec
5.2711177 sec,0.3752316 sec,0.1371606 sec,5.1984235 sec,4.3820144 sec,1.6992699 sec,1.6801666 sec,5.164116 sec,2.6711709 sec,6.7136688 sec,0.8171146 sec,1.0225475 sec,3.6146955 sec,15.015274 sec,3.6744799 sec,2.0991316 sec,1.0392312 sec,9.8941958 sec,3.5049961 sec,4.4311239 sec,8.951869 sec,9.2296915 sec,1.6078793 sec,4.945985 sec,5.3299188 sec,6.3332128 sec,24.7355999 sec,3.717618 sec,21.5017004 sec,8.6249128 sec,5.1191333 sec,3.7019106 sec,7.6932029 sec,5.4989737 sec,1.1922566 sec,3.9666378 sec,0.8842014 sec,7.6687331 sec,6.6172588 sec,16.1692127 sec,6.8647163 sec,0.94313 sec
5.4644256 sec,0.4119274 sec,0.1379686 sec,2.0163406 sec,5.4122212 sec,6.6446231 sec,11.0302849 sec,0.7838977 sec,1.6142948 sec,3.8510279 sec,15.7083571 sec,2.0495203 sec,0,0,0,0
5.5794456 sec,0.4194069 sec,0.1754449 sec,1.9924284 sec,5.5220139 sec,6.6231356 sec,11.036983 sec,0.7836496 sec,1.6193308 sec,3.8330031 sec,15.0458053 sec,2.1147315 sec,95.8170438 sec,87.7938447 sec,1.5936876 sec,1.1745156 sec
3.4134893 sec,0.4231027 sec,0.1370941 sec,2.0315286 sec,5.4285534 sec,6.6652153 sec,11.0902438 sec,0.7775161 sec,1.6426038 sec,3.7944345 sec,16.0319243 sec,2.096942 sec,79.316019 sec,33.5728875 sec,1.6600159 sec,21.3892399 sec,1.1150739 sec
5.6225414 sec,0.410054 sec,0.1356853 sec,1.9914573 sec,5.4878279 sec,6.6669606 sec,11.0837516 sec,0.7781764 sec,1.6036133 sec,3.8620334 sec,14.9612018 sec,2.0926587 sec,72.2539122 sec,33.5901525 sec,1.6482996 sec,19.4328455 sec,1.184217 sec
5.8318456 sec,0.4034446 sec,0.1492819 sec,1.8600692 sec,5.3799386 sec,9.6554222 sec,11.5465838 sec,2.6035682 sec,15.8315139 sec,0,1.0092015 sec
5.8862201 sec,0.4159126 sec,0.1842269 sec,1.9547261 sec,5.7149353 sec,9.7219935 sec,0,1.1851709 sec,1.2003035 sec
5.539147 sec,0.3996331 sec,0.1348788 sec,1.8366322 sec,4.1846151 sec,9.643789 sec,0,0,0.964451 sec
